profile,outcome,p_val,relation,coef,coef_95CI_lower,coef_95CI_upper,freq,pos_count,neg_count,binary_outcome,interaction_p_vals,interactions_combs,identical_profiles_pollutants
PROPYLENE OXIDE<6.891e-04		PENTACHLOROPHENOL<6.564e-10,EmergencyRoomVisit,0.015668931840301215,neg_correlate,0.656568168862118,0.12404996544263813,1.1890863722815979,19,32,119,True,[0.00984039419793963],"Index(['PROPYLENE OXIDE<_and_PENTACHLOROPHENOL<'], dtype='object')",[]
PROPYLENE OXIDE<6.891e-04		PENTACHLOROPHENOL>=6.564e-10,EmergencyRoomVisit,0.33720548107922277,mixed_sign_profile,-0.17490509165981213,-0.532107502569433,0.18229731924980866,19,24,127,True,[0.009836623790011769],"Index(['PROPYLENE OXIDE<_and_PENTACHLOROPHENOL>='], dtype='object')",[]
BERYLLIUM COMPOUNDS>=3.091e-04		2-NITROPROPANE<9.381e-09,EmergencyRoomVisit,0.9838165835053014,mixed_sign_profile,-0.004029439293488452,-0.3933728036509456,0.38531392506396867,18,12,139,True,[0.8319521865244007],"Index(['BERYLLIUM COMPOUNDS>=_and_2-NITROPROPANE<'], dtype='object')",[]
PHENOL<2.479e-03,EmergencyRoomVisit,0.22218316657288795,neg_correlate,0.25599656197188936,-0.15501857544764946,0.6670116993914281,18,53,98,True,[],[],[]
BIPHENYL<3.320e-05,EmergencyRoomVisit,0.376685478251236,neg_correlate,0.19053129008563954,-0.23189638665916687,0.6129589668304459,18,26,125,True,[],[],[]
POLYCHLORINATED BIPHENYLS (AROCLORS)>=4.898e-07		O-TOLUIDINE<5.570e-08,EmergencyRoomVisit,0.12676628898412293,mixed_sign_profile,0.346375731579737,-0.09821719237235571,0.7909686555318297,18,29,122,True,[0.8747982383498409],"Index(['POLYCHLORINATED BIPHENYLS (AROCLORS)>=_and_O-TOLUIDINE<'], dtype='object')",[]
"DIBUTYLPHTHALATE>=1.519e-04		ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)<4.105e-03",EmergencyRoomVisit,0.12118037980451347,mixed_sign_profile,0.3347179612537648,-0.08857473561160151,0.758010658119131,18,47,104,True,[0.8076519679131121],"Index(['DIBUTYLPHTHALATE>=_and_ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)<'], dtype='object')",[]
"1,3-DICHLOROPROPENE>=1.455e-03		METHYL ISOBUTYL KETONE (HEXONE)<2.126e-01",EmergencyRoomVisit,0.03366264750559993,mixed_sign_profile,0.5172094791720225,0.039964109641426215,0.9944548487026188,18,33,118,True,[0.3137986184144641],"Index(['1,3-DICHLOROPROPENE>=_and_METHYL ISOBUTYL KETONE (HEXONE)<'], dtype='object')",[]
BERYLLIUM COMPOUNDS>=3.091e-04		2-NITROPROPANE>=9.381e-09,EmergencyRoomVisit,0.02830241011978662,neg_correlate,-0.473239762380227,-0.8961780748775181,-0.050301449882935945,17,9,142,True,[0.8181862183256903],"Index(['BERYLLIUM COMPOUNDS>=_and_2-NITROPROPANE>='], dtype='object')",[]
"BERYLLIUM COMPOUNDS<3.091e-04		N,N-DIMETHYLANILINE<2.718e-05",EmergencyRoomVisit,0.3394220895024749,neg_correlate,0.19566157021001482,-0.20576889114709598,0.5970920315671256,17,45,106,True,[0.9753247819012212],"Index(['BERYLLIUM COMPOUNDS<_and_N,N-DIMETHYLANILINE<'], dtype='object')",[]
BENZYL CHLORIDE<2.133e-05,EmergencyRoomVisit,0.10829368626968405,neg_correlate,0.38403728394449743,-0.08466846281144919,0.852743030700444,17,30,121,True,[],[],[]
SELENIUM COMPOUNDS>=1.336e-03,EmergencyRoomVisit,0.0665200162049021,neg_correlate,-0.3515737609966457,-0.7271095744047803,0.023962052411488854,17,13,138,True,[],[],[]
ETHYLENE OXIDE>=2.800e-04		CHLOROACETIC ACID<1.818e-07,EmergencyRoomVisit,0.020560214740040994,mixed_sign_profile,-0.4125936807232044,-0.7617651829122959,-0.06342217853411292,17,30,121,True,[nan],"Index(['ETHYLENE OXIDE>=_and_CHLOROACETIC ACID<'], dtype='object')",[]
PROPYLENE OXIDE>=6.891e-04		NAPHTHALENE<2.825e-01,EmergencyRoomVisit,0.01889467094614712,mixed_sign_profile,-0.4481711580198687,-0.8223398296923324,-0.07400248634740492,17,46,105,True,[nan],"Index(['PROPYLENE OXIDE>=_and_NAPHTHALENE<'], dtype='object')",[]
ETHYLENE OXIDE>=2.640e-04		VINYL CHLORIDE<7.907e-03,EmergencyRoomVisit,0.010907850173017706,mixed_sign_profile,-0.4749149805504036,-0.8405665635449606,-0.10926339755584652,17,28,123,True,[0.9999999449251518],"Index(['ETHYLENE OXIDE>=_and_VINYL CHLORIDE<'], dtype='object')",[]
"POLYCHLORINATED BIPHENYLS (AROCLORS)>=8.265e-09		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<6.442e-03		2-CHLOROACETOPHENONE>=2.420e-07",EmergencyRoomVisit,0.02268486648167338,mixed_sign_profile,-0.4409274524845342,-0.8201795184241916,-0.061675386544876754,16,8,143,True,['repeated'],"Index(['PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<_and_2-CHLOROACETOPHENONE>='], dtype='object')",[]
NICKEL COMPOUNDS>=3.833e-03		COBALT COMPOUNDS<1.593e-04,EmergencyRoomVisit,0.034871822519868874,mixed_sign_profile,0.5320860682298234,0.037798486976671486,1.0263736494829754,16,36,115,True,[0.9999999744570535],"Index(['NICKEL COMPOUNDS>=_and_COBALT COMPOUNDS<'], dtype='object')",[]
DIETHANOLAMINE<1.902e-04,EmergencyRoomVisit,0.05847082250148615,neg_correlate,0.38020956273510875,-0.013626301498589843,0.7740454269688073,16,74,77,True,[],[],[]
O-TOLUIDINE>=5.570e-08		POLYCHLORINATED BIPHENYLS (AROCLORS)>=5.019e-07,EmergencyRoomVisit,0.0006698435139602678,neg_correlate,-0.6285086252789933,-0.9906446969768476,-0.266372553581139,16,32,119,True,[0.8522544342102425],"Index(['O-TOLUIDINE>=_and_POLYCHLORINATED BIPHENYLS (AROCLORS)>='], dtype='object')",[]
CHLOROPRENE>=7.576e-07		POLYCHLORINATED BIPHENYLS (AROCLORS)>=5.019e-07,EmergencyRoomVisit,0.0011887519272318105,neg_correlate,-0.6007556179523639,-0.9639935177146245,-0.23751771819010326,16,38,113,True,[0.8486718108788429],"Index(['CHLOROPRENE>=_and_POLYCHLORINATED BIPHENYLS (AROCLORS)>='], dtype='object')",[]
"PHENOL<2.203e-02		PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<5.574e-03",EmergencyRoomVisit,0.006792282405489507,neg_correlate,0.652785485329131,0.18012126246769178,1.1254497081905703,16,51,100,True,[0.99999993295354],"Index(['PHENOL<_and_PROPYLENE DICHLORIDE (1,2-DICHLOROPROPANE)<'], dtype='object')",[]
MALEIC ANHYDRIDE>=1.601e-05		EPICHLOROHYDRIN<1.413e-04,EmergencyRoomVisit,0.0016780537588095184,mixed_sign_profile,-0.5771588532574895,-0.9371891450454466,-0.21712856146953247,16,20,131,True,[0.195001137869785],"Index(['MALEIC ANHYDRIDE>=_and_EPICHLOROHYDRIN<'], dtype='object')",[]
"1,3-DICHLOROPROPENE>=1.455e-03		COBALT COMPOUNDS<1.462e-04",EmergencyRoomVisit,0.023473706116066077,mixed_sign_profile,0.4820162955098893,0.0650319416360644,0.8990006493837142,15,59,92,True,[0.1663672933436221],"Index(['1,3-DICHLOROPROPENE>=_and_COBALT COMPOUNDS<'], dtype='object')",[]
ETHYLENE GLYCOL>=4.316e-02		VINYL CHLORIDE<7.907e-03,EmergencyRoomVisit,0.0089386699073822,mixed_sign_profile,-0.4810664314777089,-0.8417136760638344,-0.12041918689158343,15,25,126,True,[0.9999999691666999],"Index(['ETHYLENE GLYCOL>=_and_VINYL CHLORIDE<'], dtype='object')",[]
METHYLHYDRAZINE>=3.682e-06		VINYL ACETATE<3.384e-04,EmergencyRoomVisit,0.017327220882092167,mixed_sign_profile,-0.420826101281631,-0.7674275907368907,-0.0742246118263713,15,18,133,True,[0.04683226881031094],"Index(['METHYLHYDRAZINE>=_and_VINYL ACETATE<'], dtype='object')",[]
"2,2,4-TRIMETHYLPENTANE<6.404e-01",EmergencyRoomVisit,0.18239017638795485,pos_correlate,-0.24961591887505968,-0.6165175098293323,0.11728567207921292,15,35,116,True,[],[],[]
STYRENE>=2.085e-02		TITANIUM TETRACHLORIDE<1.656e-06,EmergencyRoomVisit,0.16968565743112396,mixed_sign_profile,0.29206418429924774,-0.12479367815815501,0.7089220467566505,14,54,97,True,[0.29362284949301143],"Index(['STYRENE>=_and_TITANIUM TETRACHLORIDE<'], dtype='object')",[]
ACETOPHENONE<1.920e-05,EmergencyRoomVisit,0.2595394524388319,neg_correlate,0.25465256145896803,-0.1880246505506194,0.6973297734685555,14,27,124,True,[],[],[]
"1,3-DICHLOROPROPENE>=1.455e-03		COBALT COMPOUNDS>=1.523e-04		STYRENE>=1.075e-01",EmergencyRoomVisit,0.0945524247506118,pos_correlate,0.4236328737221504,-0.07300345697490612,0.9202692044192069,14,26,125,True,[],"Index(['COBALT COMPOUNDS>=_and_STYRENE>='], dtype='object')","[['COBALT COMPOUNDS>=_and_STYRENE>=', 'STYRENE>=']]"
HEXACHLOROBENZENE<4.450e-11,EmergencyRoomVisit,0.8248709202577437,neg_correlate,2.9244114701776858,-22.977724606813442,28.82654754716881,14,16,135,True,[],[],[]
