profile,outcome,p_val,relation,coef,coef_95CI_lower,coef_95CI_upper,freq,pos_count,neg_count,binary_outcome,interaction_p_vals,interactions_combs,identical_profiles_pollutants
DIBUTYLPHTHALATE>=4.369e-04		STYRENE>=1.075e-01,EmergencyRoomVisit,0.09936837830190878,pos_correlate,0.4122381962304087,-0.07805885733718687,0.9025352497980043,2,25,126,True,[0.9456018664784531],"Index(['DIBUTYLPHTHALATE>=_and_STYRENE>='], dtype='object')",[]
METHYL ISOBUTYL KETONE (HEXONE)>=4.118e-01		STYRENE>=1.075e-01,EmergencyRoomVisit,0.09455242464781866,pos_correlate,0.42363287394844434,-0.07300345685908771,0.9202692047559764,2,26,125,True,[],"Index(['METHYL ISOBUTYL KETONE (HEXONE)>=_and_STYRENE>='], dtype='object')","[['METHYL ISOBUTYL KETONE (HEXONE)>=_and_STYRENE>=', 'STYRENE>='], ['METHYL ISOBUTYL KETONE (HEXONE)>=_and_STYRENE>=', 'STYRENE>=']]"
PHOSPHORUS<3.508e-04		ETHYL ACRYLATE>=8.046e-06,EmergencyRoomVisit,0.17778896375104558,mixed_sign_profile,-0.2605706830602748,-0.6395491512327914,0.11840778511224181,2,43,108,True,[0.532374038831566],"Index(['PHOSPHORUS<_and_ETHYL ACRYLATE>='], dtype='object')",[]
ETHYLENE OXIDE<2.591e-04,EmergencyRoomVisit,0.30073595709650736,neg_correlate,0.21119619749165514,-0.18879835451708166,0.6111907495003919,2,42,109,True,[],[],[]
NICKEL COMPOUNDS<3.843e-03,EmergencyRoomVisit,0.4508642096273895,pos_correlate,-0.14601882617360817,-0.525595901345475,0.23355824899825856,2,58,93,True,[],[],[]
O-TOLUIDINE<5.382e-08,EmergencyRoomVisit,0.06957461631993125,neg_correlate,0.4462208362497373,-0.03572723157032898,0.9281689040698036,2,29,122,True,[],[],[]
DIMETHYL SULFATE>=6.996e-07		HYDRAZINE<3.126e-06,EmergencyRoomVisit,0.0025157403830252047,mixed_sign_profile,-0.6213410942765816,-1.0243957506777837,-0.21828643787537938,2,9,142,True,[0.9840136840198341],"Index(['DIMETHYL SULFATE>=_and_HYDRAZINE<'], dtype='object')",[]
TITANIUM TETRACHLORIDE>=4.743e-05		ACRYLIC ACID<4.538e-07,EmergencyRoomVisit,0.8103899968809162,mixed_sign_profile,-0.044039438266036096,-0.4038037568321543,0.31572488030008217,2,10,141,True,[0.05870255988720992],"Index(['TITANIUM TETRACHLORIDE>=_and_ACRYLIC ACID<'], dtype='object')",[]
TITANIUM TETRACHLORIDE>=4.743e-05		ACRYLIC ACID>=4.538e-07,EmergencyRoomVisit,0.034197459224054705,pos_correlate,0.8030065746433096,0.05982413702760969,1.5461890122590094,2,23,128,True,[0.05874556426632913],"Index(['TITANIUM TETRACHLORIDE>=_and_ACRYLIC ACID>='], dtype='object')",[]
METHYLHYDRAZINE>=3.050e-06		CADMIUM COMPOUNDS<3.915e-04,EmergencyRoomVisit,0.9303983810132722,mixed_sign_profile,-0.017206215646338684,-0.40330839621001796,0.3688959649173406,2,39,112,True,[0.8504658188861829],"Index(['METHYLHYDRAZINE>=_and_CADMIUM COMPOUNDS<'], dtype='object')",[]
PHOSPHORUS<1.956e-04,EmergencyRoomVisit,0.02485380563052788,neg_correlate,0.4694558939117376,0.05936096533599461,0.8795508224874806,2,71,80,True,[],[],[]
NAPHTHALENE<1.085e-01,EmergencyRoomVisit,0.13760912606558667,pos_correlate,-0.28683216495055047,-0.6654678790907778,0.09180354918967681,2,40,111,True,[],[],[]
"1,3-DICHLOROPROPENE>=1.455e-03		COBALT COMPOUNDS>=1.462e-04		STYRENE>=1.075e-01",EmergencyRoomVisit,0.09455242464781866,pos_correlate,0.42363287394844434,-0.07300345685908771,0.9202692047559764,2,26,125,True,[],"Index(['COBALT COMPOUNDS>=_and_STYRENE>='], dtype='object')","[['COBALT COMPOUNDS>=_and_STYRENE>=', 'STYRENE>=']]"
BERYLLIUM COMPOUNDS<2.913e-04		VINYL ACETATE>=1.228e-03,EmergencyRoomVisit,0.05296434332048728,mixed_sign_profile,0.4329017922539004,-0.0055370595752814444,0.8713406440830822,2,39,112,True,[0.16807053052725973],"Index(['BERYLLIUM COMPOUNDS<_and_VINYL ACETATE>='], dtype='object')",[]
BERYLLIUM COMPOUNDS>=2.913e-04		PHOSPHORUS<3.078e-04,EmergencyRoomVisit,0.7260220619723979,mixed_sign_profile,-0.07302892038396429,-0.48149093936045106,0.33543309859252246,2,12,139,True,[0.5201159613554468],"Index(['BERYLLIUM COMPOUNDS>=_and_PHOSPHORUS<'], dtype='object')",[]
BERYLLIUM COMPOUNDS>=2.913e-04		PHOSPHORUS>=3.078e-04,EmergencyRoomVisit,0.05057901998190814,neg_correlate,-0.3507115519295579,-0.7023074318340594,0.0008843279749435884,2,17,134,True,[0.5198303711412973],"Index(['BERYLLIUM COMPOUNDS>=_and_PHOSPHORUS>='], dtype='object')",[]
PHENOL<2.345e-02		METHYL ISOBUTYL KETONE (HEXONE)>=4.653e-01		NAPHTHALENE<3.088e-01,EmergencyRoomVisit,0.4570744334609348,mixed_sign_profile,-0.14075744063668325,-0.5117263732456587,0.2302114919722922,2,22,129,True,[nan],"Index(['METHYL ISOBUTYL KETONE (HEXONE)>=_and_NAPHTHALENE<'], dtype='object')",[]
HEXAMETHYLENE DIISOCYANATE>=2.350e-06,EmergencyRoomVisit,0.009771938365663271,neg_correlate,-0.5120310758841811,-0.9004372061441059,-0.12362494562425619,2,11,140,True,[],[],[]
2-CHLOROACETOPHENONE>=2.385e-07,EmergencyRoomVisit,0.06149079403699148,neg_correlate,-0.32539357025319626,-0.6664506885529409,0.015663548046548292,2,10,141,True,[],[],[]
METHYL CHLORIDE (CHLOROMETHANE)>=1.205e+00,EmergencyRoomVisit,0.37729314609248055,neg_correlate,-0.17216141497962376,-0.5543476006905818,0.21002477073133427,2,38,113,True,[],[],[]
CHLOROPRENE>=7.318e-07		STYRENE>=1.075e-01,EmergencyRoomVisit,0.09455242464781866,pos_correlate,0.42363287394844434,-0.07300345685908771,0.9202692047559764,2,26,125,True,[],"Index(['CHLOROPRENE>=_and_STYRENE>='], dtype='object')","[['CHLOROPRENE>=_and_STYRENE>=', 'STYRENE>='], ['CHLOROPRENE>=_and_STYRENE>=', 'STYRENE>=']]"
CUMENE<2.755e-03,EmergencyRoomVisit,0.8938005266070668,neg_correlate,0.026740920875530597,-0.365862179686362,0.41934402143742316,2,39,112,True,[],[],[]
"METHYLHYDRAZINE>=3.682e-06		1,3-BUTADIENE<2.590e-01",EmergencyRoomVisit,0.007654944216229656,mixed_sign_profile,-0.5048484729176317,-0.8758697608155903,-0.13382718501967306,2,40,111,True,[0.23890730360320955],"Index(['METHYLHYDRAZINE>=_and_1,3-BUTADIENE<'], dtype='object')",[]
CARBON DISULFIDE<5.609e-03,EmergencyRoomVisit,0.033068724851022434,neg_correlate,0.4630741042216418,0.0372162924639976,0.888931915979286,2,58,93,True,[],[],[]
